1,1,1,Box,
1,2,0.5,Cup,
1,3,0.25,Cup,
1,4,0.25,Cup,
1,5,2,,
1,6,1,Pint,Sweetened
1,7,0.5,Cup,
1,8,,,Sliced
2,1,2,Cups,
2,2,0.5,Teaspoon,
2,3,2,Tablespoon,
2,4,0.5,Teaspoon,
2,5,0.5,Cup,
2,6,0.667,Cup,
3,1,2,,
3,2,1,Cup,
3,3,1,Teaspoon,
4,1,3,,
4,2,1,,
4,3,1,Teaspoon,
4,4,2,Teaspoon,
5,1,1,Cup,Washed
5,2,6,Teaspoon,
5,3,6,Cup,
6,1,2,Cup,
6,2,2,,
6,3,1,Tablespoon,
6,4,1,Tablespoon,
6,5,2.5,Cup,
6,6,1,Teaspoon,
7,1,6,,
7,2,6,,
7,3,1,Clove,
7,4,0.25,,
7,5,0.5,Teaspoon,
7,6,0.5,,
8,1,0.125,Cup,
8,2,6,,
8,3,6,,
8,4,1,Clove,Minced
8,5,0.5,Teaspoon,Diced
8,6,0.5,Teaspoon,
8,7,0.5,Teaspoon,
9,1,1,,
9,2,2,,
9,3,1,Clove,
9,4,0.5,Teaspoon,Blended
9,5,0.25,Cup,
9,6,0.5,Teaspoon,
10,1,6,,
10,2,4,,
10,3,0.5,,
10,4,0.5,,
10,5,0.5,Teaspoon,
10,6,4,Cup,
10,7,1,Teaspoon,
10,8,0.5,Teaspoon,
11,1,10,Ounce,
11,2,0.5,Cup,Chopped
11,3,0.5,Cup,"Peeled, cubed"
11,4,2,Cup,Chicken or vegetable or water and boullion
11,5,,,
11,6,1.75,Cup,
11,7,1,Tablespoon,
11,8,2,Tablespoon,
11,9,,,
12,1,1,Pound,
12,2,1,Can,"Drained, mashed"
12,3,1,Can,
12,4,1,,
12,5,1,Can,
12,6,,to taste,
12,7,,to taste,
13,1,1-2,Pounds,
13,2,2,Tablespoon,
13,3,0.5,Cup,
13,4,0.5,Cup,
13,5,0.125,Teaspoon,
13,6,1,Can,
13,7,1,Cup,
13,8,1,Can,
13,9,1,Tablespoon,
14,1,1,Pounds,
14,2,1,Can,
14,3,1,Bag,
14,4,,,
14,5,,,
15,1,12,,
15,2,1,Cup,
15,3,1,Cup,
15,4,1,Teaspoon,
15,5,1-2,Tablespoon,
16,1,2.5,Pounds,
16,2,1,Can,
16,3,2,Clove,Minced
16,4,1,Package,
16,5,8,Ounce,Shredded
16,6,1.5,Cup,Creamed
16,7,0.5,Cup,Grated
16,8,1,Teaspoon,
16,9,1,Teaspoon,
16,10,0.5,Teaspoon,
16,11,1,,Minced
16,12,1,Teaspoon,
16,13,2,Tablespoon,
16,14,2,Tablespoon,
17,1,3,Cup,
17,2,5,,
17,3,0.5,Cup,
17,4,1,Cup,
17,5,2-3,Tablespoon,
17,6,0.5,Teaspoon,
18,1,2,Cup,Warm
18,2,0.5,Cup,
18,3,2,Teaspoon,
18,4,6,Tablespoon,
18,5,6,Cup,
19,1,1,,
19,2,2,Cup,Mashed
19,3,1,Cup,Shredded
19,4,0.5,Cup,
19,5,0.75,Teaspoon,
19,6,0.25,Teaspoon,
20,1,2,Strips,
20,2,1,Cup,Chopped
20,3,0.5,Cup,Chopped
20,4,3,Cup,3 Cup water + chicken soup mix
20,5,1.5,Cup,Diced
20,6,0.5,Teaspoon,
21,1,0.5,Pound,Cubed
21,2,6,Cup,
21,3,0.5,Cup,Chopped
21,4,1,Cup,
21,5,1,Cup,
21,6,1,Clove,Minced
21,7,1.5,Teaspoon,
21,8,1,Can,
21,9,0.5,Cup,
21,10,1,,
22,1,2.5,Pound,
22,2,0.75,Cup,Chopped
22,3,0.25,Cup,
22,4,4,Cup,
22,5,1,Teaspoon,
22,6,0.5,Teaspoon,
22,7,1,Teaspoon,
22,8,1,Teaspoon,
22,9,1,Cup,Cubed
22,10,1,Cup,Chopped
22,11,1,Cup,
22,12,1,Cup,Chopped
22,13,0.5,Cup,"Fresh, Chopped (Optional)"
23,1,1,,
23,2,3,Ounce,
23,3,1,Inch,
23,4,1,Can,
23,5,1,Can,
23,6,1,Can,
23,7,1,Tablespoon,
23,8,1,Teaspoon,
23,9,1,Teaspoon,
23,10,1,Teaspoon,
23,11,1.5,Cup,
24,1,1,,Diced
24,2,2,Clove,Minced
24,3,2,,
24,4,1,Can,
24,5,1,Teaspoon,
24,6,1,Teaspoon,
24,7,1,Teaspoon,
24,8,0.5,Teaspoon,
25,1,8,Ounces,Sliced
25,2,2,,
25,3,1,Tablespoon,
25,4,1,Cup,
25,5,2,Tablespoon,
25,6,2,Clove,Minced
25,7,0.5,Teaspoon,
25,8,0.5,Teaspoon,
25,9,0.5,Teaspoon,
25,10,0.5,Cup,Shredded
26,1,1,Cup,
26,2,1,,
26,3,1,Cup,Chilled
26,4,,,
26,5,,,
26,6,,,
26,7,,,
26,8,0.5,Tablespoon,
26,9,0.5,,Minced
26,10,,,
27,1,1,Cup,
27,2,1.5,Cup,
27,3,,,
28,1,1,,Sliced
28,2,1,,Sliced
28,3,4,Ounce,
28,4,,,
28,5,,,
28,6,,,
28,7,1,Clove,Minced
28,8,,,
29,1,4,Pounds,
29,2,1,Package,
29,3,1,Tablespoon,
29,4,1,Tablespoon,
29,5,1,Tablespoon,
29,6,1,Tablespoon,
29,7,1,,
30,1,2,Pound,Reserve 0.5 cup potato water
30,2,1,Cup,
30,3,1,Cup,
30,4,,,Optional
30,5,,,
30,6,,,
31,1,8,Ounce,
31,2,3,Cup,
31,3,2,Tablespoon,
31,4,1,Teaspoon,
31,5,1,Cup,
31,6,1,Tablespoon,
31,7,1,Tablespoon,
31,8,1,Tablespoon,
32,1,1,Bundle,
32,2,0.5,,Thinly Sliced
32,3,0.25,,Thinly Sliced
32,4,0.5,,Thinly Sliced
32,5,1,Tablespoon,
32,6,1,Tablespoon,
32,7,1,Teaspoon,
32,8,1,Cup,
32,9,2,Clove,Minced
32,10,2,Ounces,
32,11,1,Tablespoon,
32,12,1,Tablespoon,
33,1,8,,
